year,gdp
1960,62651474946.6007
1961,68346741504.4257
1962,76313782251.6964
1963,85551113767.3727
1964,94906593388.3107
1965,102160571409.274
1966,110597467198.645
1967,119466139619.589
1968,129847107787.883
1969,140725497222.277
1970,148456359985.827
1971,165966615366.402
1972,203494148244.473
1973,264429876252.21
1974,285552373158.756
1975,360832186018.051
1976,372319038514.067
1977,410279486493.715
1978,506707848837.209
1979,613953129818.07
1980,701288419745.421
1981,615552202776.101
1982,584877732308.614
1983,559869179791.72
1984,530683779929.445
1985,553138414367.061
1986,771470783218.108
1987,934173305685.911
1988,1018847043277.17
1989,1025211803413.53
1990,1269179616913.63
1991,1269276828275.78
1992,1401465923172.24
1993,1322815612694
1994,1393982750472.59
1995,1601094756209.75
1996,1605675086549.56
1997,1452884917959.09
1998,1503108739159.44
1999,1492647560196.04
2000,1362248940482.77
2001,1376465324384.79
2002,1494286655373.61
2003,1840480812641.08
2004,2115742488204.62
2005,2196126103718.44
2006,2318593651988.46
2007,2657213249384.07
2008,2918382891460.38
2009,2690222283967.77
2010,2642609548930.36
2011,2861408170264.61
2012,2683825225092.63
2013,2811077725703.59
2014,2852165760630.27
2015,2438207896251.84
2016,2471285607081.72
2017,2586285406561.51
2018,2777535239277.98
