year,gdp
1960,72328047042.1588
1961,76694360635.9159
1962,80601939635.2483
1963,85443766670.4279
1964,93387598813.9269
1965,100595782309.165
1966,107090721447.057
1967,111185383409.521
1968,104702736248.084
1969,112676874821.987
1970,130671946244.3
1971,148113896325.14
1972,169965034965.035
1973,192537971582.558
1974,206131369798.971
1975,241756637168.142
1976,232614555256.065
1977,263066457352.172
1978,335883029721.956
1979,438994070309.191
1980,564947710899.373
1981,540765675241.158
1982,515048916841.37
1983,489618008185.539
1984,461487097632.349
1985,489285164271.047
1986,601452653180.885
1987,745162608269.325
1988,910122732123.799
1989,926884816753.927
1990,1093169389204.55
1991,1142797178130.51
1992,1179659529659.53
1993,1061388722255.55
1994,1140489745944.29
1995,1335862395455.26
1996,1409410296411.86
1997,1553623117223.31
1998,1641666114607.49
1999,1668270506390.55
2000,1648269027084.28
2001,1625799625737.73
2002,1773015587529.98
2003,2043831836734.69
2004,2403614060783.6
2005,2525005454545.45
2006,2697151793928.24
2007,3084117647058.82
2008,2904036764705.88
2009,2394785792179.47
2010,2452899665124.47
2011,2634895693131.3
2012,2676605417645.99
2013,2753565033773.77
2014,3034729456047.18
2015,2896420586534.4
2016,2659238931670.25
2017,2637866340434.13
2018,2825207947502.9
