year,gdp
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,215021806498.156
1971,249039217364.635
1972,298667219346.133
1973,396866742553.97
1974,443618642959.716
1975,488780155338.262
1976,517787921003.573
1977,598226205424.071
1978,737668356280.428
1979,878010536975.776
1980,946695355820.96
1981,797443405711.813
1982,773638200773.757
1983,767768378016.086
1984,722367608343.069
1985,729763282952.432
1986,1042300769791.95
1987,1293264353318.82
1988,1395931548502.06
1989,1393674332154.37
1990,1764967948916.6
1991,1861873895109.02
1992,2123130870381.97
1993,2068555542410.98
1994,2205966011811.5
1995,2591620035485.19
1996,2503665193657.4
1997,2218689375140.99
1998,2243225519617.65
1999,2199957383336.88
2000,1949953934033.54
2001,1950648769574.94
2002,2079136081309.99
2003,2505733634311.51
2004,2819245095604.67
2005,2861410272354.18
2006,3002446368084.31
2007,3439953462907.2
2008,3752365607148.09
2009,3418005001389.27
2010,3417094562648.95
2011,3757698281117.55
2012,3543983909148.01
2013,3752513503278.41
2014,3898726503841.35
2015,3381389338658.82
2016,3495162856297.22
2017,3693204332229.78
2018,3996759291057.81
