year,gdp
1960,
1961,41555987614.79
1962,42868091992.7502
1963,45713151050.4928
1964,50126643039.3997
1965,55342244542.8855
1966,62015172913.0879
1967,66664932950.7379
1968,72919560567.0802
1969,80349194243.7218
1970,87896095224.4234
1971,99271961477.5203
1972,113082820992.019
1973,131321859214.079
1974,160408697648.262
1975,173834029787.652
1976,206575564401.623
1977,211612156934.65
1978,218632867449.812
1979,243072102185.419
1980,273853826377.01
1981,306214863624.99
1982,313506525087.136
1983,340547711781.889
1984,355372558103.621
1985,364756499450.751
1986,377437927311.983
1987,431316742081.448
1988,507354351182.254
1989,565055743243.243
1990,593929550908.468
1991,610328183643.188
1992,592387689252.916
1993,577170761956.438
1994,578139279437.61
1995,604031623433.401
1996,628546387972.131
1997,652823920265.781
1998,631813279406.808
1999,676084000807.7
2000,742295468318.632
2001,736379777892.562
2002,757950678646.53
2003,892382413817.715
2004,1023196771714.07
2005,1169357979864.66
2006,1315415197461.21
2007,1464977190205.75
2008,1549131208997.19
2009,1371153004986.44
2010,1613542812589.39
2011,1789140665202.84
2012,1823966686523.63
2013,1842018420853.1
2014,1801480123070.82
2015,1552899925233.71
2016,1526705529135.32
2017,1646867220617.47
2018,1712510030034.05
