year,gdp
1960,15165569912.5199
1961,15236854859.469
1962,19926293839.0163
1963,23021477292.2093
1964,21211892259.9904
1965,21790035117.19
1966,27062716577.9111
1967,30591834053.9653
1968,33875881876.3672
1969,37458898243.8609
1970,42327600098.2412
1971,49204456700.4516
1972,58539008786.3684
1973,79279057730.829
1974,105136007528.76
1975,123709376567.89
1976,152678020452.829
1977,176171284311.761
1978,200800891870.164
1979,224969488835.181
1980,235024598983.261
1981,263561088977.129
1982,281682304161.041
1983,203304515490.795
1984,209023912696.839
1985,222942790435.299
1986,268137224729.722
1987,294084112392.66
1988,330397381998.489
1989,425595310000
1990,461951782000
1991,602860000000
1992,400599250000
1993,437798577639.752
1994,558111997497.263
1995,769305386182.849
1996,850426432991.742
1997,883199625324.675
1998,863723411632.917
1999,599388579985.673
2000,655420645476.906
2001,559372276081.966
2002,507962487700.024
2003,558319920831.979
2004,669316654017.094
2005,891630177251.068
2006,1107640289615.23
2007,1397084349956.35
2008,1695824565983.2
2009,1667019783585.08
2010,2208871646202.82
2011,2616201578192.25
2012,2465188674415.03
2013,2472806456101.29
2014,2455994050148.75
2015,1802214373741.32
2016,1796275437087.99
2017,2053594973992.61
2018,1868626087908.48
