year,gdp
1960,40385288344.1911
1961,44842760293.1924
1962,50383891898.9911
1963,57710743059.8341
1964,63175417019.0094
1965,67978153850.5191
1966,73654870011.2757
1967,81133120065.4202
1968,87942231678.3505
1969,97085082807.3751
1970,113021271995.043
1971,124261125468.165
1972,144780887782.205
1973,174913182331.451
1974,198906210777.017
1975,226944777283.511
1976,223976030937.427
1977,256746610489.357
1978,314019078256.902
1979,392378584945.234
1980,475682506443.59
1981,429282143246.466
1982,425863251968.504
1983,441580962901.581
1984,436443280912.497
1985,450725816042.998
1986,638273986102.091
1987,803055418882.581
1988,888667913418.625
1989,925598068021.451
1990,1177326294440.85
1991,1242109397533.95
1992,1315806985860.17
1993,1061445225790.57
1994,1095590833693.56
1995,1170787352906.22
1996,1308929351236.04
1997,1239050932241.93
1998,1266309245009.48
1999,1248563179203.07
2000,1141759996314.72
2001,1162317852348.99
2002,1266510634293.24
2003,1569649661399.55
2004,1798314750434.57
2005,1852661982340.5
2006,1942633797516
2007,2203053380782.92
2008,2390729163615.06
2009,2185160183384.27
2010,2125058244242.92
2011,2276292404600.52
2012,2072823157059.76
2013,2130491320658.68
2014,2151732868243.21
2015,1832273032580.67
2016,1869201702185.17
2017,1946570340341.13
2018,2073901988878.23
