year,gdp
1960,37029884761.6365
1961,39232436722.9835
1962,42161482867.6871
1963,48421924617.5489
1964,56480291292.4818
1965,59554856000.0288
1966,45865463131.5377
1967,50134943403.2483
1968,53085457141.236
1969,58447996415.5959
1970,62422484548.3796
1971,67350989632.712
1972,71463195540.6261
1973,85515271632.0276
1974,99525901497.5755
1975,98472798813.7125
1976,102717166924.066
1977,121487325381.668
1978,137300298593.834
1979,152991657454.179
1980,186325349548.793
1981,193490614662.615
1982,200715150164.325
1983,218262278633.435
1984,212158239241.317
1985,232511883406.39
1986,248986000002.799
1987,279033590769.841
1988,296589001909.868
1989,296042362070.853
1990,320979034101.132
1991,270105348343.706
1992,288208437278.741
1993,279296029670.677
1994,327275591371.343
1995,360281961338.465
1996,392897063750.676
1997,415867763815.89
1998,421351487589.808
1999,458820428317.587
2000,468394948471.616
2001,485441026156.549
2002,514937961192.908
2003,607699299977.15
2004,709148531774.823
2005,820381672147.736
2006,940259892374.501
2007,1216735426855.47
2008,1198895498504.14
2009,1341886699393.18
2010,1675615312693.42
2011,1823049927771.46
2012,1827637859135.7
2013,1856722121394.53
2014,2039127446298.55
2015,2103587813812.75
2016,2290432075123.75
2017,2652551202555.27
2018,2726322616821.31
