year,gdp
1960,44307342950.4
1961,53508617739.3778
1962,60723018683.7333
1963,69498131797.3333
1964,81749006381.5111
1965,90950278257.7778
1966,105628070343.111
1967,123781880217.6
1968,146601072685.511
1969,172204199480.889
1970,212609187920.833
1971,240151807459.955
1972,318031297492.682
1973,432082670451.087
1974,479625998614.775
1975,521541905671.903
1976,586161859001.02
1977,721411786537.187
1978,1013612173519.79
1979,1055012119528.16
1980,1105385973763.87
1981,1218988935129.81
1982,1134518001884.56
1983,1243323592058.83
1984,1318381627003.76
1985,1398892744820.69
1986,2078953333673.55
1987,2532808573157.03
1988,3071683013178.91
1989,3054914166263.18
1990,3132817652848.04
1991,3584420077100.84
1992,3908809463463.86
1993,4454143876947.21
1994,4907039384469.68
1995,5449116304981.1
1996,4833712542207.1
1997,4414732843544.43
1998,4032509760872.94
1999,4562078822335.45
2000,4887519660744.86
2001,4303544259842.72
2002,4115116279069.77
2003,4445658071221.86
2004,4815148854362.11
2005,4755410630912.14
2006,4530377224970.4
2007,4515264514430.57
2008,5037908465114.48
2009,5231382674593.7
2010,5700098114744.41
2011,6157459594823.72
2012,6203213121334.12
2013,5155717056270.83
2014,4850413536037.84
2015,4389475622588.97
2016,4926667087367.51
2017,4859950558538.97
2018,4970915556638.88
